SETDB1_KD_THP1_HUMAN_GSE103409_sgRNA9-day4_RNASEQ,SETDB1
SETDB1_KD_THP1_HUMAN_GSE103409_sgRNA9-day7_RNASEQ,SETDB1
SETDB1_KO_HELA_HUMAN_GSE86813_RNASEQ,SETDB1
SOX2_SIRNA_KYSE70_HUMAN_GSE47058_RNASEQ,SOX2
SOX5_OE_FETALCORTEX_HUMAN_GSE89057_RNASEQ,SOX5
SP140_KD_PBMC_HUMAN_GSE83381_RNASEQ,SP140
STAT3_SIRNA_HCC1143_HUMAN_GSE85579_RNASEQ,STAT3
STAT3_SIRNA_HCC70_HUMAN_GSE85579_RNASEQ,STAT3
STAT3_SIRNA_MDAMB157_HUMAN_GSE85579_RNASEQ,STAT3
STAT3_SIRNA_MDAMB231_HUMAN_GSE85579_RNASEQ,STAT3
STAT3_SIRNA_MDAMB468_HUMAN_GSE85579_RNASEQ,STAT3
TAL1_KD_JURKAT_HUMAN_GSE72299_RNASEQ,TAL1
TAL1_OE_HESC_HUMAN_GSE57395_RNASEQ,TAL1
TBX3_SHRNA_HFF_HUMAN_GSE76572_RNASEQ,TBX3
TCF21_SIRNA_HCASMC_HUMAN_GSE44461_RNASEQ,TCF21
TCF7L2_SIRNA_PANC1_HUMAN_GSE63776_RNASEQ,TCF7L2
TFE3_SIRNA_8988T_HUMAN_GSE62077_construct1_RNASEQ,TFE3
TP53_SIRNA_HESC_HUMAN_GSE76023_RNASEQ,TP53
TP53_SIRNA_MDAMB231_HUMAN_GSE68248_RNASEQ,TP53
TP63_SIRNA_KYSE70_HUMAN_GSE47058_RNASEQ,TP63
TSHZ3_SIRNA_BT549_HUMAN_GSE79586_RNASEQ,TSHZ3
TSHZ3_SIRNA_MCF7_HUMAN_GSE79586_RNASEQ,TSHZ3
TSHZ3_SIRNA_MDAMB231_HUMAN_GSE79586_RNASEQ,TSHZ3
TSHZ3_SIRNA_T47D_HUMAN_GSE79586_RNASEQ,TSHZ3
XPA_KO_HELA_HUMAN_GSE100855_RNASEQ,XPA
YBX1_SIRNA_BT549_HUMAN_GSE79586_RNASEQ,YBX1
YBX1_SIRNA_MDAMB231_HUMAN_GSE79586_RNASEQ,YBX1
ZBTB48_KO_HELA_HUMAN_GSE96777_RNASEQ,ZBTB48
ZBTB48_KO_U2OS_HUMAN_GSE96777_RNASEQ,ZBTB48
ZEB1_OE_CFPAC1_HUMAN_GSE64558_RNASEQ,ZEB1
ZEB1_SIRNA_PRIMARYCORNEALENDOTHELIALCELLS_HUMAN_GSE90489_RNASEQ,ZEB1
ZEB2_SHRNA_H1_HUMAN_GSE69618_day10_RNASEQ,ZEB2
ZEB2_SHRNA_H1_HUMAN_GSE69618_day2_RNASEQ,ZEB2
ZEB2_SHRNA_H1_HUMAN_GSE69618_day6_RNASEQ,ZEB2
ZIC3_OE_HUVEC_HUMAN_GSE79306_RNASEQ,ZIC3
ZMAT4_SIRNA_MCF7_HUMAN_GSE79586_RNASEQ,ZMAT4
ZMAT4_SIRNA_T47D_HUMAN_GSE79586_RNASEQ,ZMAT4
ZNF142_SIRNA_MCF7_HUMAN_GSE79586_RNASEQ,ZNF142
ZNF142_SIRNA_T47D_HUMAN_GSE79586_RNASEQ,ZNF142
ZNF143_SIRNA_MCF7_HUMAN_GSE76453_RNASEQ,ZNF143
ZNF217_SIRNA_MCF7_HUMAN_GSE58326_RNASEQ,ZNF217
ZNF253_SIRNA_MCF7_HUMAN_GSE79586_RNASEQ,ZNF253
ZNF253_SIRNA_T47D_HUMAN_GSE79586_RNASEQ,ZNF253
ZNF503_SHRNA_H1_HUMAN_GSE69618_day2_RNASEQ,ZNF503
ZNF503_SHRNA_H1_HUMAN_GSE69618_day6_RNASEQ,ZNF503
ZNF581_SIRNA_BT549_HUMAN_GSE79586_RNASEQ,ZNF581
ZNF589_SIRNA_BT549_HUMAN_GSE79586_RNASEQ,ZNF589
ZNF589_SIRNA_MCF7_HUMAN_GSE79586_RNASEQ,ZNF589
ZNF589_SIRNA_MDAMB231_HUMAN_GSE79586_RNASEQ,ZNF589
ZNF589_SIRNA_T47D_HUMAN_GSE79586_RNASEQ,ZNF589
